accession_id,name,LAP_SD_WW,LAP_SD_LW,FTP_SD_WW,FTP_SD_LW,heightP_SD_WW,heightP_SD_LW,YieldP_SD_WW,YieldP_SD_LW,LAPdSI_drought,FTPSI_drought,HeightPSI_drought,YielPSI_drought,SRTM_elevation,Dittberner_moleco18_Delta_13C
9832,IP-Cat-0,0.985477067,1.26162405,1.053067279,0.903970244,0.533574361,0.676138115,1.503713697,2.15242094,0.276146983,-0.149097035,0.142563754,0.648707243,723,NA
9844,IP-Esn-2,0.771455903,1.076569583,0.983212069,1.180781238,0.743058312,1.141704964,0.677717304,0.928610306,0.30511368,0.197569169,0.398646652,0.250893002,542,-33.495217
9845,IP-Evs-0,1.295715471,NA,0.94514098,NA,1.070717781,NA,0.483953833,NA,NA,NA,NA,NA,639,NA
9846,IP-Ezc-2,0.896431512,1.034033592,1.43901731,1.180183374,0.649370506,0.38315974,0.209986234,NA,0.13760208,-0.258833936,-0.266210766,NA,834,-35.432135
9855,IP-Lam-0,1.247929135,NA,0.769105853,NA,1.11681813,NA,2.657425067,NA,NA,NA,NA,NA,720,-35.822828
9857,IP-Leg-0,0.952163331,1.398861519,0.882271292,0.860924042,1.188199315,1.03064417,1.724995219,2.759764663,0.446698188,-0.02134725,-0.157555145,1.034769444,682,-35.620801
9869,IP-Moj-0,0.983309034,NA,0.890653917,NA,0.924386351,NA,1.478242442,NA,NA,NA,NA,NA,752,NA
9871,IP-Nac-0,0.439775838,NA,1.786546975,NA,0.572040888,NA,0.20392165,NA,NA,NA,NA,NA,1345,NA
9874,IP-Oja-0,1.094890688,0.692326431,0.590276518,0.562739413,0.948774922,1.400846817,2.355181343,1.769247004,-0.402564257,-0.027537105,0.452071895,-0.585934339,809,-35.56386
9880,IP-Pib-1,0.907746387,1.079825223,1.122922488,1.255514227,0.826336361,1.214264683,0.188760189,0.198755188,0.172078836,0.132591739,0.387928322,0.009994999,618,-36.618136
9887,IP-Pun-0,0.712181132,0.922529308,1.066689044,1.318289939,0.855724449,0.5034756,1.560764108,0.847153261,0.210348176,0.251600895,-0.352248849,-0.713610847,788,NA
9905,IP-Ven-0,0.942450776,0.697399393,1.155604746,1.372097691,1.065265051,0.811484203,0.250164106,0.117298144,-0.245051383,0.216492945,-0.253780848,-0.132865962,1737,NA
9944,Don-0,1.309936127,NA,0.674102769,NA,0.848642982,NA,1.384241384,NA,NA,NA,NA,NA,4,NA
